gender,age,device,maas_score,ios_pickups,non_ios_avg_pickups,inhibition_score
Female,24,iPhone,3.27,46.0,,45
Female,22,iPhone,4.0,88.0,,58
Female,37,iPhone,3.73,44.0,,57
Female,33,Samsung,4.6,,53.0,53
Female,33,Android,4.4,,57.0,58
Female,26,iPhone,4.4,166.0,,65
Male,32,Samsung,2.67,,97.0,37
Male,34,Android,4.2,,55.0,75
Male,34,Android,4.0,,55.0,75
Female,21,iPhone,2.93,215.0,,38
Female,43,Android,4.13,,42.0,69
Male,24,Android,3.8,,39.0,46
Female,35,iPhone,2.8,152.0,,22
Male,35,iPhone,3.73,109.0,,48
Female,19,iPhone,3.6,97.0,,22
Male,32,Android,4.07,,165.0,42
Female,47,iPhone,5.93,102.0,,63
Female,45,Android,3.4,,29.0,37
Female,45,Android,3.4,,36.0,37
Male,53,Android,3.4,,32.0,59
Female,65,iPhone,4.27,0.0,,68
Male,39,iPhone,4.07,179.0,,46
Male,39,iPhone,4.33,172.0,,46
Male,61,Samsung,4.67,,52.0,42
Female,29,iPhone,2.87,215.0,,32
Male,29,Android,4.8,,51.0,26
Female,29,Android,3.67,,93.0,32
Female,37,iPhone,4.33,160.0,,44
Female,46,Android,4.33,,94.0,44
Male,23,Android,4.4,,29.0,56
Female,32,Android,3.13,,35.0,54
